Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
655_Setiabudibuilding,655_Setiabudibuilding|441PC422E-LTE-STBUDIOFC|430453|4,82,28%,-81.7195122,NOT GO -> Have Pico
655_Setiabudibuilding,655_Setiabudibuilding|4435024E-LTE-TAMAN-RASUNA|430033|6,48,30%,-84.54166667,NOT GO -> Have Pico
655_Setiabudibuilding,655_Setiabudibuilding|4435024E-LTE-TAMAN-RASUNA|430033|9,32,20%,-88.78125,NOT GO -> Have Pico
655_Setiabudibuilding,655_Setiabudibuilding|SH4433645E_CO|430865|4,20,8%,-85.35,NOT GO -> Have Pico
656_Setiabudirsc,656_Setiabudirsc|441PX169E-LTE-MENARA-BANK-MEGA-KUNINGAN|430348|4,84,19%,-69.76190476,NOT GO -> Have Pico
656_Setiabudirsc,656_Setiabudirsc|441PX169E-LTE-MENARA-BANK-MEGA-KUNINGAN|430348|7,78,19%,-71.83333333,NOT GO -> Have Pico
656_Setiabudirsc,656_Setiabudirsc|4435024E-LTE-TAMAN-RASUNA|430033|9,17,7%,-86.52941176,NOT GO -> Have Pico
656_Setiabudirsc,656_Setiabudirsc|SH4433645E_CO|430865|4,43,51%,-80,NOT GO -> Have Pico
657_Sniperwct,657_Sniperwct|441PL608E_CO|430946|24,2,7%,-88,NOT GO -> Have Pico
657_Sniperwct,657_Sniperwct|441PX035E_CO|430476|24,3,13%,-94.66666667,NOT GO -> Have Pico
657_Sniperwct,657_Sniperwct|441PX532E-LTE-MENARA-PRIMAB3G|430422|4,8,14%,-81.875,NOT GO -> Have Pico
657_Sniperwct,657_Sniperwct|4435027E|430034|2,95,5%,-89.44210526,NOT GO -> Have Pico
657_Sniperwct,657_Sniperwct|443PC758E-LTE-RITZ-CARLTON|430256|4,93,8%,-89.62365591,NOT GO -> Have Pico
658_Sopodel-MAC,658_Sopodel-MAC|441PL079E_CO|430915|14,13,11%,-75.92307692,NOT GO -> Have Pico
658_Sopodel-MAC,658_Sopodel-MAC|441PL079E_CO|430915|35,22,6%,-81.45454545,NOT GO -> Have Pico
658_Sopodel-MAC,658_Sopodel-MAC|441PL079E_CO|430915|4,80,30%,-84.55,NOT GO -> Have Pico
658_Sopodel-MAC,658_Sopodel-MAC|441PL079E_CO|430915|5,946,5%,-91.1987315,NOT GO -> Have Pico
658_Sopodel-MAC,658_Sopodel-MAC|441PL079E_CO|430915|6,9,5%,-79.77777778,NOT GO -> Have Pico
1202_Pasar Jonggol,1202_Pasar Jonggol|4410963E_BB|461548|6,161,10%,-110.4347826,OK -> GO
659_Tempopavilion-EBJ,659_Tempopavilion-EBJ|441PL081E_CO|430862|14,29,18%,-84.37931034,NOT GO -> Have Pico
659_Tempopavilion-EBJ,659_Tempopavilion-EBJ|441PL081E_CO|430862|24,24,9%,-85.41666667,NOT GO -> Have Pico
659_Tempopavilion-EBJ,659_Tempopavilion-EBJ|SH4431855E_CO|430827|6,18,19%,-82.16666667,NOT GO -> Have Pico
659_Tempopavilion-EBJ,659_Tempopavilion-EBJ|SH4431855E_CO|430827|9,27,20%,-88.66666667,NOT GO -> Have Pico
66_Kemtower,66_Kemtower|4412169E|410351|4,2,18%,-72.5,NOT GO -> Have Pico
436_Plzsenayan,436_Plzsenayan|SH4431347E_CO|430841|8,7,7%,-103.4285714,NOT GO -> Have Pico
66_Kemtower,66_Kemtower|441PX368E-LTE-KEM-TOWER|410363|4,48,43%,-73.25,NOT GO -> Have Pico
660_Temposcantower,660_Temposcantower|441PC110E-LTE-TEMPO-SCANTOWER|430448|4,154,30%,-84.85064935,NOT GO -> Have Pico
660_Temposcantower,660_Temposcantower|441PC110E-LTE-TEMPO-SCANTOWER|430448|5,196,49%,-87.5255102,NOT GO -> Have Pico
661_Theconvergence-IBS,661_Theconvergence-IBS|441PL061E_CO|430790|4,13,7%,-94.38461538,NOT GO -> Have Pico
661_Theconvergence-IBS,661_Theconvergence-IBS|441PL061E_CO|430790|5,188,40%,-87.2606383,NOT GO -> Have Pico
661_Theconvergence-IBS,661_Theconvergence-IBS|441PL279E_CO|430860|24,79,20%,-78,NOT GO -> Have Pico
661_Theconvergence-IBS,661_Theconvergence-IBS|441PL486E_CO|430977|24,20,6%,-80.55,NOT GO -> Have Pico
662_Theeast,662_Theeast|441PX009E-LTE-THE-EAST|430335|4,83,23%,-89.81927711,NOT GO -> Have Pico
662_Theeast,662_Theeast|441PX009E-LTE-THE-EAST|430335|5,224,34%,-84.29017857,NOT GO -> Have Pico
662_Theeast,662_Theeast|4435008E_CO|431082|4,60,15%,-83.31666667,NOT GO -> Have Pico
1325_NIRVANA APARTMENT,1325_NIRVANA APARTMENT|MC4431745E_CO|430235|9,12,7%,-102,OK -> GO
663_Thegroovesuiteshtl-TBS,663_Thegroovesuiteshtl-TBS|441PL754E_CO|430980|21,1,11%,-82,NOT GO -> Have Pico
