Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
185_Cibisoffice-IBS,185_Cibisoffice-IBS|MC4431749E_CO|430236|7,3688,8%,-96.95744681,OK -> GO with Change SOW
317_Wsmantara,317_Wsmantara|4425013E-LTE-BUDI-KEMULIAAN|420008|4,3683,6%,-96.1875,NOT GO -> Have Pico
232_Plazasummareconpulomas,232_Plazasummareconpulomas|4415094E_CO|410046|8,3683,5%,-95.625,NOT GO -> Have Pico
312_Pertamina,312_Pertamina|4415012E_CO|410080|7,3679,14%,-89.27272727,NOT GO -> Have Pico
344_Mallgreenpramuka-IFS,344_Mallgreenpramuka-IFS|441PL451E-LTE-GEDUNG-BPKP|410378|21,3676,12%,-96.8,OK -> GO
282_Dephub,282_Dephub|441PX205E-LTE-DEPARTEMEN-PERHUBUNGAN|410297|4,3675,6%,-88.12903226,NOT GO -> Have Pico
422_Kompasgramedia,422_Kompasgramedia|441PC371E|430794|11,3671,10%,-90.5,NOT GO -> Have Pico
775_Yysanalazhar,775_Yysanalazhar|4435237E_CO|430128|9,3670,13%,-85.40540541,NOT GO -> Covered by Surrounding
14_GDGUSAYANA,14_GDGUSAYANA|4415732E_CO|410250|5,3665,7%,-72.5,NOT GO -> Covered by Surrounding
852_Summareconmallserpong2,852_Summareconmallserpong2|441PL116E|472234|7,3651,8%,-84.91304348,NOT GO -> Have Pico
927_Rsbogormedicalcenter,927_Rsbogormedicalcenter|MC4464714E|460028|4,3650,8%,-87.8,"NOT GO -> Small Building, covered by Surrounding"
763_Rspertamina,763_Rspertamina|4435172E_CO|430146|7,3649,6%,-100.1428571,NOT GO -> Have Pico
165_Univtrsakti3,165_Univtrsakti3|4413415E_CO|420105|4,3647,7%,-89.04878049,NOT GO -> Have Pico
185_Cibisoffice-IBS,185_Cibisoffice-IBS|4445149E_C2|440705|9,3646,8%,-96.125,OK -> GO with Change SOW
141_Wtcmgdua,141_Wtcmgdua|MC4424754E-LTE-BUDHI-MULYA-UTARA|420309|7,3643,7%,-101.9230769,NOT GO -> Have Pico
803_Grandadapcity-TBG,803_Grandadapcity-TBG|4471049E_CO|470036|4,3640,22%,-89.95833333,NOT GO -> Have Pico
24_MAXXBOX CIKARANG,24_MAXXBOX CIKARANG|4453890E_CO|451075|4,3639,55%,-96.37313433,OK -> GO
62_Gtsahari,62_Gtsahari|4415690E|410890|5,3638,7%,-91.66666667,OK -> GO
822_Bintarotrade,822_Bintarotrade|4472952E_CO|470292|4,3638,6%,-91.18181818,OK -> GO
1254_Pasar Senen Jaya Blok 1 &2,1254_Pasar Senen Jaya Blok 1 &2|441PL555E_CO|411096|18,3626,6%,-88.66666667,OK -> GO
374_Mentenghuis,374_Mentenghuis|4415455E_CO|410126|6,3622,5%,-84.6,"NOT GO -> Small Building, covered by Surrounding"
1241_MAKOSTRAD,1241_MAKOSTRAD|4411233E-LTE-Lapangan-Banteng|410079|8,3621,30%,-94.59259259,OK -> GO
1179_Hermina Tangerang,1179_Hermina Tangerang|4475436E_CO|470012|2,3621,10%,-94.35,"NOT GO -> Small Building, covered by Surrounding"
838_Icebsdibs1,838_Icebsdibs1|441PL375E_CO|471023|24,3619,25%,-87.66666667,OK -> GO
201_Univnasional-IBS,201_Univnasional-IBS|441PL352E_CO|440970|24,3614,14%,-77.66666667,OK -> GO
1182_Hermina Mekarsari,1182_Hermina Mekarsari|4410720E|450495|4,3614,8%,-88.33333333,"NOT GO -> Small Building, covered by Surrounding"
726_Deptpekerjaanumum,726_Deptpekerjaanumum|441PX364E_CO|430405|15,3614,6%,-92,NOT GO -> Have Pico
7_ASTRA BUANA INSURANCE OFFICE BUILDING,7_ASTRA BUANA INSURANCE OFFICE BUILDING|441PC255E_CO|410438|23,3613,6%,-83.2,"NOT GO -> Small Building, covered by Surrounding"
754_Pasarmayestikkbnbaru-WNI,754_Pasarmayestikkbnbaru-WNI|4435172E_CO|430146|9,3612,10%,-95.26086957,NOT GO -> Have Pico
285_Deptkelautan,285_Deptkelautan|441PC889E-LTE-DEPT-KELAUTAN|410312|4,3612,9%,-83.45454545,NOT GO -> Have Pico
327_Htlibismnga2,327_Htlibismnga2|MC4424777E_CO|420102|9,3610,6%,-86.61702128,NOT GO -> Have Pico
257_Apteastpark-MAC,257_Apteastpark-MAC|441PC543E_BB|411300|19,3610,5%,-89.14285714,NOT GO -> Have Pico
906_Sentulicc,906_Sentulicc|441PX439E_CO|450493|14,3607,35%,-87,NOT GO -> Have Pico
326_Htlgolden,326_Htlgolden|4415460E_CO|410086|1,3606,7%,-85.6,NOT GO -> Covered by Surrounding
901_Vivomallsentul,901_Vivomallsentul|441PL151E|451467|14,3605,20%,-87,NOT GO -> Have Pico
993_Sentramedikacibinong,993_Sentramedikacibinong|4464937E|451300|1,3604,8%,-80.75,NOT GO -> Have Pico
1117_PASAR KOMBONGAN,1117_PASAR KOMBONGAN|4412194E_CO|410989|9,3604,7%,-88.62962963,"NOT GO -> Small Building, covered by Surrounding"
317_Wsmantara,317_Wsmantara|4424974E_BB|421266|9,3604,6%,-90.34615385,NOT GO -> Have Pico
394_Aptshangrilla,394_Aptshangrilla|4413443E_CO|420055|2,3598,7%,-101.7368421,NOT GO -> Have Pico
1009_Mercure Hotel Sabang,1009_Mercure Hotel Sabang|4424974E_BB|421266|6,3598,8%,-85.25,NOT GO -> Covered by Surrounding
983_Htlbumiwyata,983_Htlbumiwyata|4465554E_CO|460101|7,3588,14%,-87.25,"NOT GO -> Small Building, covered by Surrounding"
14_GDGUSAYANA,14_GDGUSAYANA|4415732E_CO|410250|2,3580,7%,-74,NOT GO -> Covered by Surrounding
325_Htlclassicjkt-MAC,325_Htlclassicjkt-MAC|4412154E_CO|410339|18,3577,12%,-101.3571429,NOT GO -> Have Pico
803_Grandadapcity-TBG,803_Grandadapcity-TBG|441PL376E|471048|4,3572,22%,-89.15789474,NOT GO -> Have Pico
