rsrp-l900-qty,rsrp-l900-avg,compare,WKT,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
206,-118.5194175,TRUE,"POLYGON ((105.811099 -6.717215, 105.811458 -6.717215, 105.811458 -6.716856, 105.811099 -6.716856, 105.811099 -6.717215))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
211,-116.8578199,TRUE,"POLYGON ((105.826193 -6.239932, 105.826553 -6.239932, 105.826553 -6.239573, 105.826193 -6.239573, 105.826193 -6.239932))",BANTEN,SERANG,CINANGKA,36_4_31,121.7252621,KAB. SERANG_cinangka,cinangka,KAB. SERANG,P2,SubUrban
242,-111.8181818,TRUE,"POLYGON ((105.826553 -6.239932, 105.826912 -6.239932, 105.826912 -6.239573, 105.826553 -6.239573, 105.826553 -6.239932))",BANTEN,SERANG,CINANGKA,36_4_31,121.7252621,KAB. SERANG_cinangka,cinangka,KAB. SERANG,P2,SubUrban
206,-110.4514563,TRUE,"POLYGON ((105.82835 -6.392318, 105.828709 -6.392318, 105.828709 -6.391958, 105.82835 -6.391958, 105.82835 -6.392318))",BANTEN,PANDEGLANG,LABUAN,36_1_12,16.07433043,KAB. PANDEGLANG_labuan,labuan,KAB. PANDEGLANG,P1,Urban
172,-109.0581395,TRUE,"POLYGON ((105.828709 -6.427898, 105.829069 -6.427898, 105.829069 -6.427539, 105.828709 -6.427539, 105.828709 -6.427898))",BANTEN,PANDEGLANG,PAGELARAN,36_1_9,42.19481086,KAB. PANDEGLANG_pagelaran,pagelaran,KAB. PANDEGLANG,P2,SubUrban
160,-109.525,TRUE,"POLYGON ((105.830147 -6.494028, 105.830506 -6.494028, 105.830506 -6.493669, 105.830147 -6.493669, 105.830147 -6.494028))",BANTEN,PANDEGLANG,SUKARESMI,36_1_29,50.21805731,KAB. PANDEGLANG_sukaresmi,sukaresmi,KAB. PANDEGLANG,P2,Urban
189,-111.1216931,TRUE,"POLYGON ((105.830506 -6.54686, 105.830866 -6.54686, 105.830866 -6.5465, 105.830506 -6.5465, 105.830506 -6.54686))",BANTEN,PANDEGLANG,SUKARESMI,36_1_29,50.21805731,KAB. PANDEGLANG_sukaresmi,sukaresmi,KAB. PANDEGLANG,P2,Urban
165,-112.7030303,TRUE,"POLYGON ((105.833741 -6.595019, 105.8341 -6.595019, 105.8341 -6.59466, 105.833741 -6.59466, 105.833741 -6.595019))",BANTEN,PANDEGLANG,ANGSANA,36_1_7,90.28116625,KAB. PANDEGLANG_angsana,angsana,KAB. PANDEGLANG,P2,Rural
292,-109.8047945,TRUE,"POLYGON ((105.83446 -6.757828, 105.834819 -6.757828, 105.834819 -6.757468, 105.83446 -6.757468, 105.83446 -6.757828))",BANTEN,PANDEGLANG,CIKEUSIK,36_1_4,207.4902985,KAB. PANDEGLANG_cikeusik,cikeusik,KAB. PANDEGLANG,P2,Rural
178,-116.0224719,TRUE,"POLYGON ((105.835897 -6.336611, 105.836257 -6.336611, 105.836257 -6.336251, 105.835897 -6.336251, 105.835897 -6.336611))",BANTEN,PANDEGLANG,CARITA,36_1_28,71.29958632,KAB. PANDEGLANG_carita,carita,KAB. PANDEGLANG,P2,Rural
398,-116.0301508,TRUE,"POLYGON ((105.842366 -6.201476, 105.842726 -6.201476, 105.842726 -6.201117, 105.842366 -6.201117, 105.842366 -6.201476))",BANTEN,SERANG,CINANGKA,36_4_31,121.7252621,KAB. SERANG_cinangka,cinangka,KAB. SERANG,P2,SubUrban
200,-115.485,TRUE,"POLYGON ((105.844523 -6.522421, 105.844882 -6.522421, 105.844882 -6.522061, 105.844523 -6.522061, 105.844523 -6.522421))",BANTEN,PANDEGLANG,SUKARESMI,36_1_29,50.21805731,KAB. PANDEGLANG_sukaresmi,sukaresmi,KAB. PANDEGLANG,P2,Urban
198,-108.0656566,TRUE,"POLYGON ((105.845601 -6.352784, 105.84596 -6.352784, 105.84596 -6.352424, 105.845601 -6.352424, 105.845601 -6.352784))",,,,,,,,,,
203,-114.8472906,TRUE,"POLYGON ((105.848117 -6.506248, 105.848476 -6.506248, 105.848476 -6.505888, 105.848117 -6.505888, 105.848117 -6.506248))",BANTEN,PANDEGLANG,SUKARESMI,36_1_29,50.21805731,KAB. PANDEGLANG_sukaresmi,sukaresmi,KAB. PANDEGLANG,P2,Urban
161,-111.136646,TRUE,"POLYGON ((105.849914 -6.423586, 105.850273 -6.423586, 105.850273 -6.423226, 105.849914 -6.423226, 105.849914 -6.423586))",BANTEN,PANDEGLANG,PAGELARAN,36_1_9,42.19481086,KAB. PANDEGLANG_pagelaran,pagelaran,KAB. PANDEGLANG,P2,SubUrban
796,-112.839196,TRUE,"POLYGON ((105.850992 -6.177756, 105.851351 -6.177756, 105.851351 -6.177397, 105.850992 -6.177397, 105.850992 -6.177756))",BANTEN,SERANG,CINANGKA,36_4_31,121.7252621,KAB. SERANG_cinangka,cinangka,KAB. SERANG,P2,SubUrban
197,-110.2791878,TRUE,"POLYGON ((105.851711 -6.468151, 105.85207 -6.468151, 105.85207 -6.467792, 105.851711 -6.467792, 105.851711 -6.468151))",BANTEN,PANDEGLANG,PATIA,36_1_24,48.66292912,KAB. PANDEGLANG_patia,patia,KAB. PANDEGLANG,P2,SubUrban
500,-110.352,TRUE,"POLYGON ((105.852789 -6.449103, 105.853148 -6.449103, 105.853148 -6.448744, 105.852789 -6.448744, 105.852789 -6.449103))",BANTEN,PANDEGLANG,PATIA,36_1_24,48.66292912,KAB. PANDEGLANG_patia,patia,KAB. PANDEGLANG,P2,SubUrban
182,-119.5384615,TRUE,"POLYGON ((105.854227 -6.196085, 105.854586 -6.196085, 105.854586 -6.195726, 105.854227 -6.195726, 105.854227 -6.196085))",BANTEN,SERANG,CINANGKA,36_4_31,121.7252621,KAB. SERANG_cinangka,cinangka,KAB. SERANG,P2,SubUrban
218,-116.087156,TRUE,"POLYGON ((105.854586 -6.655758, 105.854945 -6.655758, 105.854945 -6.655399, 105.854586 -6.655399, 105.854586 -6.655758))",BANTEN,PANDEGLANG,ANGSANA,36_1_7,90.28116625,KAB. PANDEGLANG_angsana,angsana,KAB. PANDEGLANG,P2,Rural
502,-118.9163347,TRUE,"POLYGON ((105.856024 -6.202914, 105.856383 -6.202914, 105.856383 -6.202555, 105.856024 -6.202555, 105.856024 -6.202914))",BANTEN,SERANG,CINANGKA,36_4_31,121.7252621,KAB. SERANG_cinangka,cinangka,KAB. SERANG,P2,SubUrban
273,-116.021978,TRUE,"POLYGON ((105.860336 -6.372551, 105.860696 -6.372551, 105.860696 -6.372191, 105.860336 -6.372191, 105.860336 -6.372551))",BANTEN,PANDEGLANG,CIKEDAL,36_1_26,25.23288075,KAB. PANDEGLANG_cikedal,cikedal,KAB. PANDEGLANG,P2,SubUrban
308,-109.1590909,TRUE,"POLYGON ((105.860696 -6.648211, 105.861055 -6.648211, 105.861055 -6.647851, 105.860696 -6.647851, 105.860696 -6.648211))",BANTEN,PANDEGLANG,ANGSANA,36_1_7,90.28116625,KAB. PANDEGLANG_angsana,angsana,KAB. PANDEGLANG,P2,Rural
407,-117.2309582,TRUE,"POLYGON ((105.861774 -6.375067, 105.862133 -6.375067, 105.862133 -6.374707, 105.861774 -6.374707, 105.861774 -6.375067))",BANTEN,PANDEGLANG,CIKEDAL,36_1_26,25.23288075,KAB. PANDEGLANG_cikedal,cikedal,KAB. PANDEGLANG,P2,SubUrban
350,-114.5771429,TRUE,"POLYGON ((105.862133 -6.404178, 105.862493 -6.404178, 105.862493 -6.403819, 105.862133 -6.403819, 105.862133 -6.404178))",BANTEN,PANDEGLANG,PAGELARAN,36_1_9,42.19481086,KAB. PANDEGLANG_pagelaran,pagelaran,KAB. PANDEGLANG,P2,SubUrban
