rsrp-combined-qty,rsrp-combined-avg,compare,geometry,Tower ID,Frequency System,Longitude,Latitude,distance_existing,Planning ID,Lat,Long,distance_new,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
29812,-109.3680062,TRUE,"POLYGON ((107.239354 -6.522421, 107.239714 -6.522421, 107.239714 -6.522061, 107.239354 -6.522061, 107.239354 -6.522421))",,,,,,,,,,JAWA BARAT,KARAWANG,TEGALWARU,32_15_28,107.1263542,KAB. KARAWANG_tegalwaru,tegalwaru,KAB. KARAWANG,P2,Rural
29759,-109.4157398,TRUE,"POLYGON ((107.172506 -6.083593, 107.172865 -6.083593, 107.172865 -6.083234, 107.172506 -6.083234, 107.172506 -6.083593))",,,,,,,,,,JAWA BARAT,BEKASI,CABANGBUNGIN,32_16_16,49.74495994,KAB. BEKASI_cabangbungin,cabangbungin,KAB. BEKASI,P2,SubUrban
29713,-111.0440548,TRUE,"POLYGON ((107.083734 -6.168412, 107.084093 -6.168412, 107.084093 -6.168052, 107.083734 -6.168052, 107.083734 -6.168412))",,,,,,,,,,JAWA BARAT,BEKASI,TAMBUN UTARA,32_16_5,35.03443441,KAB. BEKASI_tambun utara,tambun utara,KAB. BEKASI,P1,Urban
29442,-111.7658107,TRUE,"POLYGON ((107.440978 -6.402022, 107.441337 -6.402022, 107.441337 -6.401662, 107.440978 -6.401662, 107.440978 -6.402022))",,,,,,,,,,JAWA BARAT,KARAWANG,CIKAMPEK,32_15_13,36.86471888,KAB. KARAWANG_cikampek,cikampek,KAB. KARAWANG,P2,Urban
28205,-106.254423,TRUE,"POLYGON ((106.727569 -6.544344, 106.727928 -6.544344, 106.727928 -6.543985, 106.727569 -6.543985, 106.727569 -6.544344))",,,,,,,,,,JAWA BARAT,BOGOR,DRAMAGA,32_1_30,25.71261385,KAB. BOGOR_dramaga,dramaga,KAB. BOGOR,P2,Urban
27486,-110.2628247,TRUE,"POLYGON ((107.001791 -6.114861, 107.00215 -6.114861, 107.00215 -6.114502, 107.001791 -6.114502, 107.001791 -6.114861))",,,,,,,,,,JAWA BARAT,BEKASI,TARUMA JAYA,32_16_1,55.40869344,KAB. BEKASI_taruma jaya,taruma jaya,KAB. BEKASI,P2,SubUrban
27465,-108.348043,TRUE,"POLYGON ((107.376645 -6.326188, 107.377004 -6.326188, 107.377004 -6.325829, 107.376645 -6.325829, 107.376645 -6.326188))",,,,,,,,,,JAWA BARAT,KARAWANG,MAJALAYA,32_15_21,33.34815694,KAB. KARAWANG_majalaya,majalaya,KAB. KARAWANG,P2,SubUrban
27373,-106.5374274,TRUE,"POLYGON ((107.049232 -6.179553, 107.049591 -6.179553, 107.049591 -6.179194, 107.049232 -6.179194, 107.049232 -6.179553))",,,,,,,,,,JAWA BARAT,BEKASI,TAMBUN UTARA,32_16_5,35.03443441,KAB. BEKASI_tambun utara,tambun utara,KAB. BEKASI,P1,Urban
27200,-110.668125,TRUE,"POLYGON ((107.255527 -6.097969, 107.255887 -6.097969, 107.255887 -6.09761, 107.255527 -6.09761, 107.255527 -6.097969))",,,,,,,,,,JAWA BARAT,KARAWANG,TIRTAJAYA,32_15_9,107.9043614,KAB. KARAWANG_tirtajaya,tirtajaya,KAB. KARAWANG,P2,SubUrban
26226,-107.7243194,TRUE,"POLYGON ((107.472245 -6.29528, 107.472605 -6.29528, 107.472605 -6.29492, 107.472245 -6.29492, 107.472245 -6.29528))",,,,,,,,,,JAWA BARAT,KARAWANG,TIRTAMULYA,32_15_16,47.67674742,KAB. KARAWANG_tirtamulya,tirtamulya,KAB. KARAWANG,P2,SubUrban
25511,-107.20548,TRUE,"POLYGON ((107.148785 -6.314328, 107.149145 -6.314328, 107.149145 -6.313969, 107.148785 -6.313969, 107.148785 -6.314328))",,,,,,,,,,JAWA BARAT,BEKASI,CIKARANG SELATAN,32_16_19,54.03237402,KAB. BEKASI_cikarang selatan,cikarang selatan,KAB. BEKASI,P1,Urban
25239,-113.0095883,TRUE,"POLYGON ((107.288951 -6.266168, 107.289311 -6.266168, 107.289311 -6.265809, 107.288951 -6.265809, 107.288951 -6.266168))",,,,,,,,,,JAWA BARAT,KARAWANG,KARAWANG BARAT,32_15_1,40.84377642,KAB. KARAWANG_karawang barat,karawang barat,KAB. KARAWANG,P2,Urban
25215,-114.8628991,TRUE,"POLYGON ((107.132253 -6.349549, 107.132612 -6.349549, 107.132612 -6.34919, 107.132253 -6.34919, 107.132253 -6.349549))",,,,,,,,,,JAWA BARAT,BEKASI,CIKARANG SELATAN,32_16_19,54.03237402,KAB. BEKASI_cikarang selatan,cikarang selatan,KAB. BEKASI,P1,Urban
25165,-110.6921121,TRUE,"POLYGON ((107.016167 -6.147926, 107.016526 -6.147926, 107.016526 -6.147566, 107.016167 -6.147566, 107.016167 -6.147926))",,,,,,,,,,JAWA BARAT,BEKASI,BABELAN,32_16_2,66.24684024,KAB. BEKASI_babelan,babelan,KAB. BEKASI,P1,Urban
25113,-106.1145224,TRUE,"POLYGON ((106.9964 -6.13966, 106.996759 -6.13966, 106.996759 -6.1393, 106.9964 -6.1393, 106.9964 -6.13966))",,,,,,,,,,JAWA BARAT,BEKASI,TARUMA JAYA,32_16_1,55.40869344,KAB. BEKASI_taruma jaya,taruma jaya,KAB. BEKASI,P2,SubUrban
24563,-109.0187681,TRUE,"POLYGON ((106.394045 -6.32511, 106.394405 -6.32511, 106.394405 -6.324751, 106.394045 -6.324751, 106.394045 -6.32511))",,,,,,,,,,BANTEN,SERANG,KOPO,36_4_25,37.47310263,KAB. SERANG_kopo,kopo,KAB. SERANG,P2,SubUrban
24440,-107.8324059,TRUE,"POLYGON ((107.012213 -6.154036, 107.012573 -6.154036, 107.012573 -6.153676, 107.012213 -6.153676, 107.012213 -6.154036))",,,,,,,,,,JAWA BARAT,BEKASI,BABELAN,32_16_2,66.24684024,KAB. BEKASI_babelan,babelan,KAB. BEKASI,P1,Urban
24355,-105.5566003,TRUE,"POLYGON ((107.288592 -6.26509, 107.288951 -6.26509, 107.288951 -6.264731, 107.288592 -6.264731, 107.288592 -6.26509))",,,,,,,,,,JAWA BARAT,KARAWANG,KARAWANG BARAT,32_15_1,40.84377642,KAB. KARAWANG_karawang barat,karawang barat,KAB. KARAWANG,P2,Urban
24235,-107.2403136,TRUE,"POLYGON ((107.172506 -6.164818, 107.172865 -6.164818, 107.172865 -6.164458, 107.172506 -6.164458, 107.172506 -6.164818))",,,,,,,,,,JAWA BARAT,BEKASI,SUKATANI,32_16_15,38.30431256,KAB. BEKASI_sukatani,sukatani,KAB. BEKASI,P2,Urban
23879,-107.1365216,TRUE,"POLYGON ((107.287514 -6.246761, 107.287873 -6.246761, 107.287873 -6.246401, 107.287514 -6.246401, 107.287514 -6.246761))",,,,,,,,,,JAWA BARAT,KARAWANG,KARAWANG BARAT,32_15_1,40.84377642,KAB. KARAWANG_karawang barat,karawang barat,KAB. KARAWANG,P2,Urban
23869,-105.3321463,TRUE,"POLYGON ((107.057857 -6.349909, 107.058217 -6.349909, 107.058217 -6.349549, 107.057857 -6.349549, 107.057857 -6.349909))",,,,,,,,,,JAWA BARAT,BEKASI,SETU,32_16_18,60.20719115,KAB. BEKASI_setu,setu,KAB. BEKASI,P1,SubUrban
23717,-107.1449593,TRUE,"POLYGON ((106.737632 -6.331579, 106.737991 -6.331579, 106.737991 -6.33122, 106.737632 -6.33122, 106.737632 -6.331579))",,,,,,,,,,BANTEN,KOTA TANGERANG SELATAN,PAMULANG,36_74_6,28.11262651,KOTA TANGERANG SELATAN_pamulang,pamulang,KOTA TANGERANG SELATAN,P1,Urban
23407,-107.8999872,TRUE,"POLYGON ((107.022995 -6.15727, 107.023355 -6.15727, 107.023355 -6.156911, 107.022995 -6.156911, 107.022995 -6.15727))",,,,,,,,,,JAWA BARAT,BEKASI,BABELAN,32_16_2,66.24684024,KAB. BEKASI_babelan,babelan,KAB. BEKASI,P1,Urban
23272,-112.7883723,TRUE,"POLYGON ((107.284639 -6.213337, 107.284998 -6.213337, 107.284998 -6.212977, 107.284639 -6.212977, 107.284639 -6.213337))",,,,,,,,,,JAWA BARAT,BEKASI,PEBAYURAN,32_16_13,95.3255672,KAB. BEKASI_pebayuran,pebayuran,KAB. BEKASI,P2,SubUrban
23206,-109.660605,TRUE,"POLYGON ((107.457869 -6.324032, 107.458229 -6.324032, 107.458229 -6.323672, 107.457869 -6.323672, 107.457869 -6.324032))",,,,,,,,,,JAWA BARAT,KARAWANG,TIRTAMULYA,32_15_16,47.67674742,KAB. KARAWANG_tirtamulya,tirtamulya,KAB. KARAWANG,P2,SubUrban
23109,-107.9946774,TRUE,"POLYGON ((107.024433 -6.198242, 107.024792 -6.198242, 107.024792 -6.197882, 107.024433 -6.197882, 107.024433 -6.198242))",,,,,,,,,,JAWA BARAT,KOTA BEKASI,BEKASI UTARA,32_75_3,21.41232528,KOTA BEKASI_bekasi utara,bekasi utara,KOTA BEKASI,P1,Urban
23050,-112.8463774,TRUE,"POLYGON ((107.090203 -6.366082, 107.090563 -6.366082, 107.090563 -6.365722, 107.090203 -6.365722, 107.090203 -6.366082))",,,,,,,,,,JAWA BARAT,BEKASI,SERANG BARU,32_16_21,59.41833543,KAB. BEKASI_serang baru,serang baru,KAB. BEKASI,P2,SubUrban
22902,-109.721509,TRUE,"POLYGON ((107.387786 -6.338767, 107.388146 -6.338767, 107.388146 -6.338408, 107.387786 -6.338408, 107.387786 -6.338767))",,,,,,,,,,JAWA BARAT,KARAWANG,KLARI,32_15_5,73.49306609,KAB. KARAWANG_klari,klari,KAB. KARAWANG,P1,Urban
