rsrp-l1800-qty,rsrp-level,WKT,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
267,-115.3071161,"POLYGON ((105.698606 -6.567346, 105.698966 -6.567346, 105.698966 -6.566986, 105.698606 -6.566986, 105.698606 -6.567346))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
182,-110.3076923,"POLYGON ((105.699685 -6.601848, 105.700044 -6.601848, 105.700044 -6.601489, 105.699685 -6.601489, 105.699685 -6.601848))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
1092,-106.2014652,"POLYGON ((105.700044 -6.66654, 105.700403 -6.66654, 105.700403 -6.666181, 105.700044 -6.666181, 105.700044 -6.66654))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
185,-108.7621622,"POLYGON ((105.700763 -6.667259, 105.701122 -6.667259, 105.701122 -6.666899, 105.700763 -6.666899, 105.700763 -6.667259))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
175,-108.9314286,"POLYGON ((105.701482 -6.526374, 105.701841 -6.526374, 105.701841 -6.526015, 105.701482 -6.526015, 105.701482 -6.526374))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
165,-111.2606061,"POLYGON ((105.701482 -6.526733, 105.701841 -6.526733, 105.701841 -6.526374, 105.701482 -6.526374, 105.701482 -6.526733))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
211,-112.7819905,"POLYGON ((105.701841 -6.674447, 105.7022 -6.674447, 105.7022 -6.674087, 105.701841 -6.674087, 105.701841 -6.674447))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
463,-108.6868251,"POLYGON ((105.701841 -6.674806, 105.7022 -6.674806, 105.7022 -6.674447, 105.701841 -6.674447, 105.701841 -6.674806))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
179,-105.5921788,"POLYGON ((105.7022 -6.635991, 105.70256 -6.635991, 105.70256 -6.635632, 105.7022 -6.635632, 105.7022 -6.635991))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
264,-111.9583333,"POLYGON ((105.7022 -6.674447, 105.70256 -6.674447, 105.70256 -6.674087, 105.7022 -6.674087, 105.7022 -6.674447))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
