Cellname,LTE_SITE_ID,LTE_SITE_ID_2,SITE_Name
JK4G18_442PC225E_4,442PC225E,442PC225E,442PC225E_LTE_MENARA_THAMRIN
JK4G18_442PC225E_5,442PC225E,442PC225E,442PC225E_LTE_MENARA_THAMRIN
JK4G18_442PC304E_4,442PC304E,442PC304E,442PC304E_LTE_BPPT
JK4G18_442PC304E_5,442PC304E,442PC304E,442PC304E_LTE_BPPT
JK4G18_442PC316E_4,442PC316E,442PC316E,442PC316E_LTE_BDN
JK4G18_4411233E_4,4411233E,4411233E,4411233E_LTE_LAPANGAN_BANTENG
JK4G18_4411233E_5,4411233E,4411233E,4411233E_LTE_LAPANGAN_BANTENG
JK4G18_4411233E_6,4411233E_BB,4411233E,4411233E_LTE_LAPANGAN_BANTENG
JK4G18_MC4412145E_5,MC4412145E,MC4412145E,MC4412145E_LTE_ABDUL_RAHMAN_SALEH
JK4G18_MC4412145E_14_M,MC4412145E,MC4412145E,MC4412145E_LTE_ABDUL_RAHMAN_SALEH
JK4G18_441PC336E_4,441PC336E,441PC336E,441PC336E_LTE_RSPAD
JK4G18_441PC336E_5,441PC336E,441PC336E,441PC336E_LTE_RSPAD
JK4G18_MC4412145E_15_M,MC4412145E,MC4412145E,MC4412145E_LTE_ABDUL_RAHMAN_SALEH
JK4G18_MC4412145E_16_M,MC4412145E,MC4412145E,MC4412145E_LTE_ABDUL_RAHMAN_SALEH
JK4G18_MC4412145E_4,MC4412145E,MC4412145E,MC4412145E_LTE_ABDUL_RAHMAN_SALEH
JK4G18_MC4412145E_6,MC4412145E,MC4412145E,MC4412145E_LTE_ABDUL_RAHMAN_SALEH
JK4G18_4412278E_4,3412278G_CO,4412278E,4412278E_LTE_KRAMAT_UJUNG
JK4G18_4412278E_5,3412278G_CO,4412278E,4412278E_LTE_KRAMAT_UJUNG
JK4G18_4412278E_6,3412278G_CO,4412278E,4412278E_LTE_KRAMAT_UJUNG
JK4G18_4415084E_4,5084G_CO,4415084E,4415084E_LTE_SENEN_PRAPATAN
JK4G18_4415084E_5,5084G_CO,4415084E,4415084E_LTE_SENEN_PRAPATAN
JK4G18_4415084E_6,5084G_CO,4415084E,4415084E_LTE_SENEN_PRAPATAN
JK4G18_441PC804E_4,441PC804E,441PC804E,441PC804E_LTE_HTLTREVA
JK4G18_441PX804E_4,441PX804E,441PX804E,441PX804E_LTE_HOTEL_TREVA
JK4G18_441PL474E_4,341PL474G_CO,441PL474E,441PL474E_LTE_CAPITOL_SUITE
JK4G18_441PL474E_14_M,341PL474G_CO,441PL474E,441PL474E_LTE_CAPITOL_SUITE
JK4G18_441PL474E_24_P2M,341PL474G_CO,441PL474E,441PL474E_LTE_CAPITOL_SUITE
JK4G18_441PL474E_25_P2M,341PL474G_CO,441PL474E,441PL474E_LTE_CAPITOL_SUITE
JK4G18_441PX249E_4,441PX249E,441PX249E,441PX249E_LTE_MENTENG_HUIS
JK4G18_4415059E_4,4415059E,4415059E,4415059E_LTE_CIKINI
JK4G18_4415059E_5,4415059E,4415059E,4415059E_LTE_CIKINI
JK4G18_4415059E_6,4415059E,4415059E,4415059E_LTE_CIKINI
JK4G18_SH4412239E_4,SH4412239E,SH4412239E,SH4412239E_LTE_SYAMSU_RIZAL
JK4G18_SH4431782E_4,SH4431782E,SH4431782E,SH4431782E_LTE_GARUT_MENTENG
JK4G18_SH4431782E_5,SH4431782E,SH4431782E,SH4431782E_LTE_GARUT_MENTENG
JK4G18_SH4431782E_6,SH4431782E,SH4431782E,SH4431782E_LTE_GARUT_MENTENG
JK4G18_441PC045E_6,441PC045E,441PC045E,441PC045E_LTE_ATRIUM_SENEN
JK4G18_441PC045E_4,441PC045E,441PC045E,441PC045E_LTE_ATRIUM_SENEN
JK4G18_441PC045E_5,441PC045E,441PC045E,441PC045E_LTE_ATRIUM_SENEN
JK4G18_4411222E_5,5411222N_CO,4411222E,4411222E_LTE_HARMONI_HAYAM_WURUK
JK4G18_4411222E_15_M,5411222N_CO,4411222E,4411222E_LTE_HARMONI_HAYAM_WURUK
JK4G18_4411222E_16_M,5411222N_CO,4411222E,4411222E_LTE_HARMONI_HAYAM_WURUK
JK4G18_4411222E_4,5411222N_CO,4411222E,4411222E_LTE_HARMONI_HAYAM_WURUK
JK4G18_441PC762E_4,441PC762E,441PC762E,441PC762E_LTE_HOTEL_ACCACIA
JK4G18_441PC762E_5,441PC762E,441PC762E,441PC762E_LTE_HOTEL_ACCACIA
JK4G18_441PC762E_6,441PC762E,441PC762E,441PC762E_LTE_HOTEL_ACCACIA
JK4G21_4433076E21_8,4433076E_CO,4433076E,4433076E_LTE_3G_JLN.KEBON_1_MANGGA
JK4G21_4433076E21_9,4433076E_CO,4433076E,4433076E_LTE_3G_JLN.KEBON_1_MANGGA
JK4G18_4435688E_6,5688G_CO,4435688E,4435688E_LTE_KEBLAMA
JK4G18_4435688E_4,5688G_CO,4435688E,4435688E_LTE_KEBLAMA
JK4G18_4435688E_5,5688G_CO,4435688E,4435688E_LTE_KEBLAMA
JK4G21_4433076E21_7,4433076E_CO,4433076E,4433076E_LTE_3G_JLN.KEBON_1_MANGGA
